Zipcode,Address,Population,Median Age,Household Income,Per Capita Income
15081,"South Heights, PA 15081, USA",342,50.2,31500,22177
20615,"Broomes Island, MD 20615, USA",424,43.4,114375,43920
50201,"Nevada, IA 50201, USA",8139,40.4,56619,28908
84020,"Draper, UT 84020, USA",42751,30.4,89922,33164
39097,"Louise, MS 39097, USA",495,58,26838,17399
72315,"Blytheville, AR 72315, USA",24120,34.4,37044,19837
5454,"Fairfax, VT 05454, USA",4754,38.7,74911,31192
53816,"Mt Hope, WI 53816, USA",942,33.4,44375,18813
5483,"Sheldon, VT 05483, USA",1481,35.9,65039,24743
37345,"Huntland, TN 37345, USA",2155,46,38688,20549
1922,"Byfield, MA 01922, USA",3025,44.4,109301,40983
95237,"Lockeford, CA 95237, USA",3269,38.7,44542,22400
12429,"Esopus, NY 12429, USA",273,38.7,114129,43122
6516,"West Haven, CT 06516, USA",55349,36.9,52353,26602
81087,"Vilas, CO 81087, USA",192,26.8,34500,13210
5492,"Waterville, VT 05492, USA",727,41,53315,23399
2543,"Woods Hole, MA 02543, USA",736,49.7,66250,50348
6062,"Plainville, CT 06062, USA",17767,42.4,60630,32531
95008,"Campbell, CA 95008, USA",45187,37.3,87204,44023
4418,"Greenbush, ME 04418, USA",1632,42,37955,19692
96818,"Honolulu, HI 96818, USA",51522,31.3,70850,26894
87734,"Ocate, NM 87734, USA",190,60.4,42813,19060
30564,"Murrayville, GA 30564, USA",3714,40.5,64213,23422
23146,"Rockville, VA 23146, USA",3107,47,77207,37414
85250,"Scottsdale, AZ 85250, USA",16653,48.6,59358,39968
59529,"Hogeland, MT 59529, USA",143,57.2,115938,70966
1430,"Ashburnham, MA 01430, USA",6119,42.4,83532,34454
90003,"Los Angeles, CA 90003, USA",66200,26.2,29686,9963
93925,"Chualar, CA 93925, USA",1708,32.5,70909,23642
54229,"New Franken, WI 54229, USA",4123,40.4,68667,29538
77378,"Willis, TX 77378, USA",14151,34.7,48136,24117
17938,"Hegins, PA 17938, USA",2489,42.7,58409,23520
65332,"Green Ridge, MO 65332, USA",1656,40.3,40511,18929
624,"Peñuelas, 00624, Puerto Rico",25340,34.2,14768,6761
35956,"Boaz, AL 35956, USA",8716,40,46844,19615
44093,"Williamsfield, OH 44093, USA",1104,37.8,32344,20559
12156,"Schodack Landing, NY 12156, USA",933,40.5,64107,31616
14113,"North Java, NY 14113, USA",630,45.6,47500,33149
17774,"Unityville, PA 17774, USA",1261,35.7,45795,20033
36736,"Dixons Mills, AL 36736, USA",1756,42.3,28333,17708
37727,"Del Rio, TN 37727, USA",2101,49.8,29779,20369
12759,"Loch Sheldrake, NY 12759, USA",2033,30.1,37902,13996
25669,"Crum, WV 25669, USA",908,44,35302,16972
63039,"Gray Summit, MO 63039, USA",1297,31.7,44521,18539
22025,"Dumfries, VA 22025, USA",16955,40,115000,48008
24083,"Daleville, VA 24083, USA",2277,46.4,91295,47678
10303,"Staten Island, NY 10303, USA",24537,31.1,51537,22077
28436,"Delco, NC 28436, USA",2170,37.9,45417,22077
79345,"Meadow, TX 79345, USA",968,41.1,53281,22971
33029,"Hollywood, FL 33029, USA",47086,36.6,88264,30976
8872,"Sayreville, NJ 08872, USA",20041,37.7,72956,32666
24281,"Rose Hill, VA 24281, USA",2691,37.6,22902,15557
14555,"Sodus Point, NY 14555, USA",1229,54.9,57500,30559
44629,"Gnadenhutten, OH 44629, USA",2707,35.9,43545,19101
47591,"Vincennes, IN 47591, USA",26995,37.1,40815,20681
20886,"Montgomery Village, MD 20886, USA",34023,34,77136,35177
22191,"Woodbridge, VA 22191, USA",61863,30.9,79198,31401
10309,"Staten Island, NY 10309, USA",32646,38.5,86297,35719
32683,"Otter Creek, FL 32683, USA",337,45.9,36563,13575
16029,"East Butler, PA 16029, USA",647,40,41875,22128
76135,"Fort Worth, TX 76135, USA",20550,39.8,52945,27715
93954,"San Lucas, CA 93954, USA",222,31.8,39167,12520
12942,"Keene, NY 12942, USA",724,44.4,42188,24003
61062,"Pearl City, IL 61062, USA",1964,40.7,60000,26087
4357,"Richmond, ME 04357, USA",3393,43.4,59961,26571
52560,"Floris, IA 52560, USA",483,44.6,53472,21979
87528,"Dulce, NM 87528, USA",3405,29,39725,16182
60565,"Naperville, IL 60565, USA",40864,40.8,113581,45408
6422,"Durham, CT 06422, USA",7380,42.5,124179,47679
35801,"Huntsville, AL 35801, USA",22253,44,59352,41807
6444,"Marion, CT 06444, USA",134,29.7,103636,22178
37398,"Winchester, TN 37398, USA",13589,45.6,43330,24562
58647,"New England, ND 58647, USA",1156,47,49375,26557
67849,"Hanston, KS 67849, USA",486,43,63214,26015
31771,"Norman Park, GA 31771, USA",6207,32.9,33524,17690
55396,"Winthrop, MN 55396, USA",2231,41.8,48919,23296
92543,"Hemet, CA 92543, USA",34406,36.5,26909,14425
89316,"Eureka, NV 89316, USA",1513,38.7,63603,26280
99661,"Sand Point, AK 99661, USA",1243,39.6,71250,27423
55735,"Finlayson, MN 55735, USA",1802,49,40592,23097
80831,"Peyton, CO 80831, USA",22256,35,81000,31028
20634,"Great Mills, MD 20634, USA",6562,31.9,79944,35961
59846,"Huson, MT 59846, USA",1148,58.5,52891,26606
77039,"Houston, TX 77039, USA",28151,27.2,38167,12255
8340,"Milmay, NJ 08340, USA",716,42,100250,39030
44143,"Cleveland, OH 44143, USA",24044,48.5,60265,34714
48191,"Willis, MI 48191, USA",3736,41.8,72204,25659
5301,"Guilford, VT 05301, USA",16819,44.1,49552,28510
82327,"Hanna, WY 82327, USA",792,39.8,34531,22759
55433,"Minneapolis, MN 55433, USA",34024,36.3,59258,27493
84093,"Sandy, UT 84093, USA",23237,41,94938,40837
44313,"Akron, OH 44313, USA",24611,41,48852,31436
58331,"Egeland, ND 58331, USA",116,53.5,69792,51149
38858,"Nettleton, MS 38858, USA",7392,39.1,38586,18655
77336,"Huffman, TX 77336, USA",12022,36,62995,30721
38339,"Guys, TN 38339, USA",574,40.5,44500,21109
5156,"Springfield, VT 05156, USA",9529,43.6,48872,25574
73014,"Calumet, OK 73014, USA",1642,39.8,58264,26515
54120,"Fence, WI 54120, USA",111,53.5,31250,19959
13640,"Wellesley Island, NY 13640, USA",241,62.8,88125,48388
59542,"Turner, MT 59542, USA",262,34,33214,17982
